TIMESTAMP,CPU_CYCLES,INSTRUCTIONS,CACHE_MISSES,BRANCH_MISSES,L2_CACHE_ACCESS,LABEL
06:09:11:232,120000613,33194716,47749,55177,62483,3
06:09:11:560,120000616,168162753,0,81324,983746,2
06:09:11:432,120000598,33198416,47727,53748,62320,3
06:09:11:760,120000573,167946355,0,88808,987381,2
06:09:11:632,120000625,33209675,47758,55587,62093,3
06:09:11:960,120000612,167776398,0,86990,984393,2
06:09:11:832,120000594,33188992,47722,59044,62879,3
06:09:12:160,120000579,168377370,0,82615,986374,2
06:09:12:032,120000591,33181558,47702,57694,61399,3
06:09:12:360,120000513,167651734,0,88568,984368,2
06:09:12:232,120000586,33199586,47737,57058,62421,3
06:09:12:560,120000575,168514492,0,80724,988917,2
06:09:12:432,120000612,33196485,47721,56337,63461,3
06:09:12:760,120000550,167525613,0,89720,985603,2
06:09:12:832,120000626,33211129,47759,57336,62781,3
06:09:12:960,120000600,168141609,0,82633,981283,2
06:09:13:032,120000606,33179177,47699,56841,61485,3
06:09:13:160,120000576,167973662,0,87520,989712,2
06:09:13:232,120000649,33202523,47745,55612,62526,3
06:09:13:360,120000587,167796638,0,86982,980486,2
06:09:13:432,120000604,33209540,47756,56058,62954,3
06:09:13:560,120000553,168333514,0,82212,990084,2
06:09:13:632,120000589,33191429,47715,57308,62095,3
06:09:13:760,120000578,167636106,0,88939,981684,2
06:09:13:832,120000599,33216947,47769,52941,62031,3
06:09:13:960,120000545,168554534,0,80344,987284,2
06:09:14:032,120000617,33211941,47742,55265,62644,3
06:09:14:160,120000566,167529959,0,89951,984552,2
06:09:14:232,120000617,33210099,47744,57455,63036,3
06:09:14:360,120000497,168008088,0,84555,981442,2
06:09:14:432,120000610,33219540,47757,57816,63840,3
06:09:14:560,120000574,168069674,0,85662,989745,2
06:09:14:632,120000631,33204279,47741,57292,61954,3
06:09:14:760,120000559,167783062,0,87418,982212,2
06:09:14:832,120000636,33202751,47741,55305,62131,3
06:09:14:960,120000568,168405175,0,81782,989087,2
06:09:15:032,120000612,33182199,47701,57932,62391,3
06:09:15:160,120000489,167601770,0,89055,984077,2
06:09:15:232,120000580,33211337,47744,57195,63055,3
06:09:15:360,120000582,168603104,0,80192,985834,2
06:09:15:432,120000645,33182302,47732,58682,62639,3
06:09:15:560,120000575,167478776,0,90117,983647,2
06:09:15:632,120000590,33176501,47698,58315,61482,3
06:09:15:760,120000573,167964458,0,85078,982426,2
06:09:15:832,120000611,33202586,47738,55918,61669,3
06:09:15:960,120000580,168182898,0,84842,987541,2
06:09:16:032,120000592,33210903,47736,58413,62644,3
06:09:16:160,120000580,167710697,0,87726,984571,2
06:09:16:232,120000609,33187153,47708,57662,62680,3
06:09:16:360,120000606,168451087,0,81645,987635,2
06:09:16:432,120000586,33190287,47701,56829,63178,3
06:09:16:560,120000555,167630909,0,89175,981914,2
06:09:16:632,120000612,33199955,47741,55014,61438,3
06:09:16:760,120000617,168551469,0,80149,988476,2
06:09:16:832,120000584,33197565,47724,57103,61602,3
06:09:16:960,120000519,167476239,0,90092,985566,2
06:09:17:032,120000593,33192102,47716,53735,62784,3
06:09:17:160,120000573,167937812,0,85613,981056,2
06:09:17:232,120000639,33207058,47743,55651,63040,3
06:09:17:360,120000517,168209886,0,84258,989256,2
06:09:17:432,116981470,32359053,46690,57392,62784,3
06:09:17:560,120000590,167752176,0,87996,980977,2
06:09:17:632,120000597,33236511,47799,56817,63327,3
06:09:17:760,120000545,168434316,0,81426,988048,2
06:09:17:832,120000597,33177506,47699,57004,61616,3
06:09:17:960,120000577,167574750,0,89416,984807,2
06:09:18:032,120001247,33474955,73501,65963,149946,3
06:09:19:160,120000524,175315089,1,84462,901836,2
06:09:19:032,31813287,9450109,46825,29594,162801,3
06:09:19:360,120000595,168522570,0,80453,987967,2
06:09:19:232,120000695,33821193,82757,69400,194288,3
06:09:19:560,120000494,167518550,0,89872,983412,2
06:09:19:432,120000542,33209906,47797,56001,60363,3
06:09:19:760,120000542,168070413,0,84268,980877,2
06:09:19:632,120000645,33167768,47865,57589,60754,3
06:09:19:960,120000649,168066059,0,85750,990248,2
06:09:19:832,120000545,33163277,47697,57794,59612,3
06:09:20:160,120000589,167782439,0,87567,982410,2
06:09:20:032,120000571,33211743,47770,57509,60982,3
06:09:20:360,120000533,168390852,0,81802,988950,2
06:09:20:232,120000597,33177231,47733,56471,60529,3
06:09:20:560,120000598,167610366,0,89090,985109,2
06:09:20:432,120000603,33193260,48038,56581,61553,3
06:09:20:760,120000611,168580556,0,80364,985223,2
06:09:20:632,120000576,33193247,47812,55000,60946,3
06:09:20:960,120000535,167496572,5,90056,984313,2
06:09:20:832,120000538,33193943,47754,57011,60245,3
06:09:21:160,120000537,167936448,0,85021,981834,2
06:09:21:032,120000603,33218508,47784,55085,60945,3
06:09:21:360,120000533,168184942,0,84875,988428,2
06:09:21:232,120000599,33209334,47777,56264,61463,3
06:09:21:560,120000564,167716261,0,87677,983696,2
06:09:21:432,120000512,33191947,47760,57305,60115,3
06:09:21:760,120000538,168451023,0,81643,986666,2
06:09:21:632,120000596,33179456,47727,57105,60505,3
06:09:21:960,120000531,167618328,0,89242,982659,2
06:09:21:832,120000539,33207423,47768,56106,60180,3
06:09:22:160,120000500,168584960,0,80201,988496,2
06:09:22:032,120000581,33194714,47752,55463,61074,3
06:09:22:360,120000587,167484905,0,90215,986030,2
06:09:22:232,120000584,33188753,47734,58547,61299,3
06:09:22:560,120000475,167904097,0,85737,982383,2
06:09:22:432,120000577,33185379,47730,58655,60920,3
06:09:22:760,120000540,168225555,0,84332,988394,2
06:09:22:632,120000589,33207450,47754,57401,61125,3
06:09:22:960,120000444,167712347,0,87956,981297,2
06:09:22:832,120000598,33183530,47789,58324,61031,3
06:09:23:160,120000579,168454275,0,81401,987715,2
06:09:23:032,120000549,33187940,47740,55556,59931,3
06:09:23:360,120000502,167596150,0,89572,983410,2
06:09:23:232,120000579,33200690,47760,59902,62366,3
06:09:23:560,120000533,168598732,0,79895,985091,2
06:09:23:432,120000529,33188548,47739,58416,60148,3
06:09:23:760,120000451,167493830,0,90182,985596,2
06:09:23:632,120000567,33193821,47744,58050,60772,3
06:09:23:960,120000498,167888437,0,85953,981010,2
06:09:23:832,120000531,33182380,47725,57352,59868,3
06:09:24:160,120000574,168264559,0,83765,988628,2
06:09:24:032,120000553,33170041,47713,56441,59519,3
06:09:24:360,120000631,167688104,0,88286,984240,2
06:09:24:232,120000726,34401087,114304,78934,310202,3
06:09:24:560,120000536,168490103,0,81085,988399,2
06:09:24:432,120000632,33227188,48124,56936,62706,3
06:09:24:760,120000532,167546804,0,89546,984597,2
06:09:24:632,120000587,33178822,47755,57518,60783,3
06:09:24:960,120000529,168290929,0,80068,983946,2
06:09:24:832,120000534,33173507,47727,57387,59374,3
06:09:25:160,120000575,167826415,0,90121,987536,2
06:09:25:032,120000535,33187024,47747,54577,59593,3
06:09:25:360,120000535,167833975,0,86815,980418,2
06:09:25:232,120000626,33197999,47812,55778,61367,3
06:09:25:560,120000531,168304239,0,82863,990418,2
06:09:25:432,120000513,33161961,47704,57691,59713,3
06:09:25:760,120000534,167670853,0,88487,982735,2
06:09:25:632,120000624,33196820,47807,57503,61472,3
06:09:25:960,120000499,168503230,0,80907,986300,2
06:09:25:832,116986750,32360306,47082,55344,61312,3
06:09:26:160,120000577,167589096,0,89647,984472,2
06:09:26:032,120000534,33203117,47765,55706,60781,3
06:09:26:360,120000463,168168676,0,81249,984068,2
06:09:26:232,120000606,33174011,47789,58876,62203,3
06:09:26:560,120000578,167969225,0,88767,987304,2
06:09:26:432,120000545,33186383,47742,57310,59974,3
06:09:26:760,120000522,167784057,0,86922,983147,2
06:09:26:632,120000632,33198631,47794,55509,61568,3
06:09:26:960,120000537,168378385,0,82591,985998,2
06:09:26:832,120000624,33213606,47787,55001,61099,3
06:09:27:160,120000633,167647224,0,88581,983252,2
06:09:27:032,120000530,33165324,47712,57249,59683,3
06:09:27:360,120000658,168527874,0,80723,988472,2
06:09:27:232,120000588,33177895,47723,55581,61668,3
