CORE_ID,TIMESTAMP,CPU_CYCLES,INSTRUCTIONS,CACHE_MISSES,BRANCH_MISSES,L2_CACHE_ACCESS,LABEL
1,19:25:10:206,120000580,47101796,3767664,203,13071281,2
3,19:25:10:238,120000891,29433608,71853,64948,163924,3
1,19:25:10:406,120000621,47232415,3775893,201,13118490,2
3,19:25:10:438,120000819,29166233,42059,55343,56475,3
1,19:25:10:606,120000542,47307095,3780773,205,13130234,2
3,19:25:10:638,120000853,29236737,42196,56654,58408,3
1,19:25:10:806,120000623,47332301,3782201,200,13122452,2
3,19:25:10:838,120000726,29176091,42560,56265,60510,3
1,19:25:11:006,120000658,47467128,3790797,203,13141803,2
3,19:25:11:038,120000920,29196720,41992,52204,56828,3
1,19:25:11:206,120000573,47305613,3780469,201,13133023,2
3,19:25:11:238,120001061,29169942,41896,51905,55934,3
1,19:25:11:406,120000728,47374484,3784895,214,13140154,2
3,19:25:11:438,120001104,29247410,42001,54995,57306,3
1,19:25:11:606,120000558,47320685,3781477,202,13127299,2
3,19:25:11:638,120001308,29192281,42172,53094,58825,3
1,19:25:11:806,120000552,47290548,3779474,213,13086841,2
3,19:25:11:838,120001192,29178863,41945,53026,56896,3
1,19:25:12:006,120001241,47285690,3780727,210,13125375,2
3,19:25:12:038,120000939,29188495,41921,54153,56630,3
1,19:25:12:206,120001185,47239867,3775641,195,13108679,2
3,19:25:12:238,120000968,29177987,41909,52953,55707,3
1,19:25:12:406,120001380,47279953,3780346,213,13116197,2
3,19:25:12:438,120000954,29229251,41988,53085,56839,3
1,19:25:12:606,120001638,47321713,3784824,211,13123386,2
3,19:25:12:638,120001024,29239914,42010,55996,58140,3
1,19:25:12:806,120001305,47284611,3780769,202,13120128,2
3,19:25:12:838,120001031,29220774,42009,54901,58572,3
1,19:25:13:006,120001265,47294882,3782018,203,13104863,2
3,19:25:13:038,120000893,29187251,41921,51876,56725,3
1,19:25:13:206,120001230,47210748,3772603,209,13084146,2
3,19:25:13:238,120001153,29165190,41887,51724,55710,3
1,19:25:13:406,120001302,47249081,3776893,212,13124033,2
3,19:25:13:438,120001148,29203118,41933,55982,56575,3
1,19:25:13:606,120001149,47302991,3782950,210,13115605,2
3,19:25:13:638,120001067,29247229,42039,52384,59473,3
1,19:25:13:807,120001052,47203154,3771577,212,13108380,2
3,19:25:13:838,120001208,29204663,41939,53828,57147,3
1,19:25:14:007,120001394,47285812,3780984,207,13118580,2
3,19:25:14:038,120000641,29235427,41986,54698,58056,3
1,19:25:14:207,120001145,47308157,3783414,210,13121095,2
3,19:25:14:238,120000616,29198167,41934,54050,56288,3
1,19:25:14:407,120001412,47298779,3782315,211,13127768,2
3,19:25:14:438,120000644,29263718,42021,53667,57458,3
1,19:25:14:607,120001195,47287034,3780990,200,13119858,2
3,19:25:14:638,120000648,29236368,41977,52914,57850,3
1,19:25:14:807,120000707,47384043,3787955,209,13135919,2
3,19:25:14:838,120000767,29198557,41931,53524,57035,3
1,19:25:15:007,120000728,47407772,3786860,207,13139473,2
3,19:25:15:038,120000751,29258321,42020,52528,57565,3
1,19:25:15:207,120000760,47361989,3784137,193,13123805,2
3,19:25:15:238,120000846,29181638,41899,52049,57130,3
1,19:25:15:407,120000543,47236331,3776166,206,13082456,2
3,19:25:15:438,120000856,29255576,42024,54731,57371,3
1,19:25:15:607,120000573,47436431,3788836,202,13146752,2
3,19:25:15:638,120000723,29181393,41900,53256,57308,3
1,19:25:15:807,120000558,47332669,3782287,201,13120736,2
3,19:25:15:838,120001060,29166953,41880,52988,56784,3
1,19:25:16:007,120001007,47344242,3784732,219,13133531,2
3,19:25:16:038,120001093,29183543,41914,51363,56064,3
1,19:25:16:207,120001157,47305629,3783106,218,13133742,2
3,19:25:16:238,120000959,29252576,42008,53455,58022,3
