budget_function,PMU_counter_used_budget,PMU_counter_used_budget_r,PMU_counter_used_budget_w,total_calc_r,total_calc_w,used_budget_read[0],used_budget_read[1],used_budget_read[2],used_budget_read[3],used_budget_read[4],used_budget_read[5],used_budget_read[6],used_budget_read[7],used_budget_read[8],used_budget_read[9],used_budget_write[0],used_budget_write[1],used_budget_write[2],used_budget_write[3],used_budget_write[4],used_budget_write[5],used_budget_write[6],used_budget_write[7],used_budget_write[8],used_budget_write[9],calculated_read[0],calculated_read[1],calculated_read[2],calculated_read[3],calculated_read[4],calculated_read[5],calculated_read[6],calculated_read[7],calculated_read[8],calculated_read[9],calculated_write[0],calculated_write[1],calculated_write[2],calculated_write[3],calculated_write[4],calculated_write[5],calculated_write[6],calculated_write[7],calculated_write[8],calculated_write[9],
SW,14761855,9110395,5651460,6499455,4033160,1499819,276877,415310,775390,1033847,1028968,1011341,1022345,1030424,1016074,930018,172877,257420,480638,641749,638508,626793,634098,639464,629895,1246705,1097737,730669,489192,489192,489192,489192,489192,489192,489192,772885,681322,453438,303645,303645,303645,303645,303645,303645,303645,
AFC,14832027,9154395,5677632,6145273,3810443,903889,1335183,1094949,977777,881017,827499,807580,792483,761029,772989,555219,829638,679705,607682,546862,513394,501431,492135,471649,479917,180777,411658,548316,634208,683569,712355,731400,743616,747098,752276,111043,254762,339750,393336,424041,441911,453815,461479,463513,466793,
AMBP,14752860,9103137,5649723,6085186,3776642,747544,1361982,1125517,986457,891760,843751,812321,785976,775877,771952,463178,845158,698605,612632,553512,523893,504358,487690,481514,479183,149588,392066,538756,628296,680988,713540,733296,743832,750241,754583,92715,243203,334283,389952,422664,442909,455198,461696,465659,468363,
PIC,12125080,7486580,4638500,4285234720,4288937230,748658,748658,748658,748658,748658,748658,748658,748658,748658,748658,463850,463850,463850,463850,463850,463850,463850,463850,463850,463850,428523472,428523472,428523472,428523472,428523472,428523472,428523472,428523472,428523472,428523472,428893723,428893723,428893723,428893723,428893723,428893723,428893723,428893723,428893723,428893723,
EWMA,17369357,15080801,2288556,10142509,1516478,2084497,1768616,1829751,1679902,1116583,1452659,1459744,972023,1375820,1341206,164057,314779,315898,259267,197416,233348,221447,164073,204459,213812,416899,687242,915743,1068574,1078175,1153071,1214405,1165928,1207906,1234566,32811,89204,134542,159487,167072,180327,188551,183655,187815,193014,
SW,20652975,17815773,2837202,14245976,2031667,2555139,2555139,2555139,32341,50309,2772908,1634752,1258658,2741550,1659838,396677,17708,958890,131684,56341,158415,285185,228601,321288,282413,2313336,2313336,2313336,2030390,879263,879263,879263,879263,879263,879263,323975,282573,282573,282573,282573,115480,115480,115480,115480,115480,
AFC,18104102,15538996,2565106,10660961,1772919,1231512,3155539,1702210,1116157,2657565,490623,728981,2533604,1180375,742430,214195,379491,284903,198385,286946,598303,95310,212560,164426,130587,246302,828149,1002961,1025600,1351993,1179719,1089572,1378378,1338778,1219509,42839,110169,145115,155769,182004,265263,231273,227531,214910,198046,
AMBP,16930819,14653640,2277179,579479399,39083843,2395855,2022685,1483967,1640816,1477322,1126599,1126599,1126599,1126599,1126599,233039,350265,253373,264058,235207,184279,219091,208403,164732,164732,479251,787937,927143,1069877,1151366,115012765,115012765,115012765,115012765,115012765,46687,107402,136596,162088,176711,178224,186397,190798,18949470,18949470,
PIC,29291970,25333370,3958600,4262033900,4289821100,2533337,2533337,2533337,2533337,2533337,2533337,2533337,2533337,2533337,2533337,395860,395860,395860,395860,395860,395860,395860,395860,395860,395860,426203390,426203390,426203390,426203390,426203390,426203390,426203390,426203390,426203390,426203390,428982110,428982110,428982110,428982110,428982110,428982110,428982110,428982110,428982110,428982110,
EWMA,18118995,15751820,2367175,10630348,1575893,2077478,2057203,1833573,1567139,1514481,1370796,1346097,1342425,1331114,1311514,163123,360155,296503,264057,238657,212573,217138,208932,204187,201850,415495,743836,961783,1082854,1169179,1209502,1236821,1257941,1272575,1280362,32624,98130,137804,163054,178174,185053,191470,194962,196807,197815,
SW,18012905,15653259,2359646,10367819,1851990,2586743,415553,506574,1341010,1818342,1775670,1803286,1821548,1788618,1795915,399734,146824,101635,179053,259107,251891,256338,248324,260816,255924,2065465,1852078,1169623,754379,754379,754379,754379,754379,754379,754379,323859,314539,216064,142504,142504,142504,142504,142504,142504,142504,
AFC,17685791,15262747,2423044,10248147,1627799,1463079,2277738,1889235,1641645,1497777,1373536,1159501,1315850,1352052,1292334,213042,356198,293621,255508,233286,257538,221638,194583,202172,195458,292615,689639,929558,1071975,1157135,1200415,1192233,1216956,1243975,1253646,42608,105326,142985,165489,179048,194746,200124,199016,199647,198810,
AMBP,17595905,15162158,2433747,134828898,1594143,1140525,2311559,1923919,1680835,1488240,1392813,1366517,1334552,1312854,1210344,171845,369463,297313,254185,231080,222250,212024,206680,202939,265968,228185,644859,900671,1056703,1143010,1192970,1227679,1249053,1261813,125923955,34449,101451,140623,163335,176884,185957,191170,194272,196005,209997,
