budget_function,PMU_counter_used_budget,PMU_counter_used_budget_r,PMU_counter_used_budget_w,total_calc_r,total_calc_w,used_budget_read[0],used_budget_read[1],used_budget_read[2],used_budget_read[3],used_budget_read[4],used_budget_read[5],used_budget_read[6],used_budget_read[7],used_budget_read[8],used_budget_read[9],used_budget_write[0],used_budget_write[1],used_budget_write[2],used_budget_write[3],used_budget_write[4],used_budget_write[5],used_budget_write[6],used_budget_write[7],used_budget_write[8],used_budget_write[9],calculated_read[0],calculated_read[1],calculated_read[2],calculated_read[3],calculated_read[4],calculated_read[5],calculated_read[6],calculated_read[7],calculated_read[8],calculated_read[9],calculated_write[0],calculated_write[1],calculated_write[2],calculated_write[3],calculated_write[4],calculated_write[5],calculated_write[6],calculated_write[7],calculated_write[8],calculated_write[9],
PIC,40635290,31387220,9248070,4254163890,4282944790,3138722,3138722,3138722,3138722,3138722,3138722,3138722,3138722,3138722,3138722,924807,924807,924807,924807,924807,924807,924807,924807,924807,924807,425416389,425416389,425416389,425416389,425416389,425416389,425416389,425416389,425416389,425416389,428294479,428294479,428294479,428294479,428294479,428294479,428294479,428294479,428294479,428294479,
EWMA,24629439,18549984,6079455,12667041,4119630,2915012,2863105,1309228,2061310,2151398,889301,1809328,2003429,792652,1755221,683245,874415,780113,546486,599212,611240,445443,539532,576734,423035,583002,1039022,1093063,1286712,1459649,1345579,1438328,1551348,1399608,1470730,136649,284202,383384,416004,452645,484364,476579,489169,506682,489952,
SW,24151628,18181073,5970555,12745315,4321414,3158181,997644,132297,1725261,2490786,1390574,2202949,2490995,1390118,2202268,930897,205146,339808,437680,688007,738698,602047,688002,738444,601826,2445342,2208461,1429374,951734,951734,951734,951734,951734,951734,951734,810484,726165,491950,327545,327545,327545,327545,327545,327545,327545,
AFC,24475901,18593593,5882308,12417882,3958106,2125302,2404941,2606759,2022200,965517,2158975,1751766,803724,2061424,1692985,589864,715619,771149,557789,714448,556540,428705,638089,509950,400155,425060,821036,1178180,1346984,1270691,1448347,1509030,1367969,1506660,1543925,117972,237501,344230,386941,452442,473261,464350,499097,501267,481045,
AMBP,21029873,15098666,5931207,582586770,150545340,352258,3083191,2772320,1247936,2032708,2139037,867804,867804,867804,867804,755302,778074,739998,697073,495182,569068,595362,433716,433716,433716,70531,673063,1092914,1123918,1305676,1472348,144212080,144212080,144212080,144212080,151140,276526,369220,434790,446868,471308,496118,49299790,49299790,49299790,
PIC,40880360,31577220,9303140,4253916890,4282873200,3157722,3157722,3157722,3157722,3157722,3157722,3157722,3157722,3157722,3157722,930314,930314,930314,930314,930314,930314,930314,930314,930314,930314,425391689,425391689,425391689,425391689,425391689,425391689,425391689,425391689,425391689,425391689,428287320,428287320,428287320,428287320,428287320,428287320,428287320,428287320,428287320,428287320,
EWMA,24638394,18554426,6083968,12670561,4122347,2920216,2858782,1308365,2064923,2157495,877507,1814562,2013834,777462,1761280,685122,873517,779981,546828,600748,609833,446507,541464,575875,424093,584043,1038990,1092865,1287276,1461319,1344556,1438557,1553612,1398382,1470961,137024,284322,383453,416128,453052,484408,476827,489754,506978,490401,
SW,24170095,18194034,5976061,12743950,4326520,3163059,1007865,116437,1728753,2502383,1379639,2208364,2499458,1382380,2205696,932051,207741,338356,437834,690440,737169,602530,689620,738281,602039,2445245,2212459,1429120,951018,951018,951018,951018,951018,951018,951018,810546,727419,492716,327977,327977,327977,327977,327977,327977,327977,
AFC,24352886,18353764,5999122,12712866,3968952,2477433,2240480,2649238,1857859,1823512,2020814,779808,1761249,1974973,768398,683474,676967,783038,554582,538030,596595,609358,442991,537343,576744,495486,844484,1205434,1335919,1433437,1550912,1396692,1469603,1570677,1410222,136694,244748,352406,392841,421878,456821,487328,478461,490237,507538,
AMBP,20825375,15095267,5730108,708391305,193587632,1578468,3118736,1544993,2151427,2215923,897144,897144,897144,897144,897144,372777,942835,803406,572215,616659,623052,449791,449791,449791,449791,315773,876365,1010090,1238357,1433870,140703370,140703370,140703370,140703370,140703370,74635,248275,359301,401883,444838,480480,47894555,47894555,47894555,47894555,
PIC,40922750,31612070,9310680,4253871590,4282863390,3161207,3161207,3161207,3161207,3161207,3161207,3161207,3161207,3161207,3161207,931068,931068,931068,931068,931068,931068,931068,931068,931068,931068,425387159,425387159,425387159,425387159,425387159,425387159,425387159,425387159,425387159,425387159,428286339,428286339,428286339,428286339,428286339,428286339,428286339,428286339,428286339,428286339,
EWMA,24612025,18538664,6073361,12658662,4115042,2913777,2852960,1316481,2056765,2148365,893804,1806814,2002503,794755,1752440,683259,871592,779463,545362,598478,611860,444789,538961,577394,422203,582755,1036796,1092733,1285539,1458104,1345244,1437558,1550547,1399388,1469998,136651,283639,382803,415314,451946,483928,476100,488672,506416,489573,
SW,24127248,18164622,5962626,12747233,4319714,3152355,996507,137451,1724142,2485759,1392122,2199875,2484680,1392825,2198906,928815,206128,340005,437243,686912,737629,601177,686244,737555,600918,2441723,2207839,1428771,952700,952700,952700,952700,952700,952700,952700,808270,725251,491649,327792,327792,327792,327792,327792,327792,327792,
AFC,24460175,18584070,5876105,12411867,3953474,2116620,2412450,2606482,2018917,965910,2158605,1748461,804391,2061919,1690315,587367,715923,771214,557231,712454,557297,428238,635191,510847,400343,423324,821149,1178215,1346355,1270266,1447933,1508038,1367309,1506231,1543047,117473,237163,343973,386624,451790,472891,463961,498207,500735,480657,
